z,Hz
0.0,9.063420687893892e-19
0.010050251256281407,9.04551904282709e-19
0.02010050251256281,9.027617397760286e-19
0.030150753768844216,9.009715752693485e-19
0.04020100502512562,8.99181410762668e-19
0.05025125628140704,8.97391246255988e-19
0.06030150753768844,8.956010817493076e-19
0.07035175879396985,8.938109172426276e-19
0.08040201005025124,8.92020752735947e-19
0.09045226130653265,8.902305882292669e-19
0.10050251256281408,8.884404237225865e-19
0.11055276381909548,8.866502592159063e-19
0.12060301507537688,8.84860094709226e-19
0.1306532663316583,8.83069930202546e-19
0.14070351758793967,8.812797656958654e-19
0.15075376884422112,8.794896011891853e-19
0.16080402010050251,8.776994366825049e-19
0.1708542713567839,8.759092721758247e-19
0.18090452261306533,8.741191076691444e-19
0.19095477386934673,8.723289431624644e-19
0.20100502512562812,8.705387786557838e-19
0.21105527638190957,8.687486141491037e-19
0.22110552763819097,8.669584496424234e-19
0.2311557788944724,8.65168285135743e-19
0.24120603015075373,8.633781206290628e-19
0.25125628140703515,8.615879561223828e-19
0.2613065326633166,8.597977916157022e-19
0.271356783919598,8.580076271090221e-19
0.28140703517587934,8.562174626023418e-19
0.2914572864321608,8.544272980956614e-19
0.30150753768844224,8.526371335889812e-19
0.31155778894472363,8.508469690823012e-19
0.32160804020100503,8.490568045756208e-19
0.3316582914572864,8.472666400689405e-19
0.3417085427135678,8.454764755622602e-19
0.35175879396984927,8.436863110555799e-19
0.36180904522613067,8.418961465488997e-19
0.37185929648241206,8.401059820422194e-19
0.3819095477386935,8.383158175355392e-19
0.3919597989949749,8.365256530288589e-19
0.4020100502512563,8.347354885221786e-19
0.4120603015075377,8.329453240154984e-19
0.42211055276381915,8.311551595088181e-19
0.4321608040201005,8.293649950021378e-19
0.44221105527638194,8.275748304954576e-19
0.4522613065326633,8.257846659887773e-19
0.4623115577889447,8.23994501482097e-19
0.47236180904522607,8.222043369754168e-19
0.4824120603015075,8.204141724687365e-19
0.49246231155778897,8.186240079620562e-19
0.5025125628140703,8.16833843455376e-19
0.5125628140703518,8.150436789486957e-19
0.5226130653266332,8.132535144420154e-19
0.5326633165829145,8.114633499353354e-19
0.542713567839196,8.096731854286549e-19
0.5527638190954774,8.078830209219746e-19
0.5628140703517588,8.060928564152944e-19
0.5728643216080401,8.043026919086142e-19
0.5829145728643216,8.02512527401934e-19
0.592964824120603,8.007223628952538e-19
0.6030150753768845,7.989321983885734e-19
0.6130653266331657,7.971420338818932e-19
0.6231155778894473,7.95351869375213e-19
0.6331658291457286,7.935617048685326e-19
0.6432160804020101,7.917715403618524e-19
0.6532663316582915,7.899813758551722e-19
0.6633165829145728,7.881912113484918e-19
0.6733668341708543,7.864010468418116e-19
0.6834170854271356,7.846108823351314e-19
0.6934673366834171,7.82820717828451e-19
0.7035175879396985,7.810305533217708e-19
0.7135678391959799,7.792403888150906e-19
0.7236180904522613,7.774502243084102e-19
0.7336683417085426,7.7566005980173e-19
0.7437185929648241,7.738698952950498e-19
0.7537688442211055,7.720797307883694e-19
0.7638190954773869,7.7028956628168935e-19
0.7738693467336684,7.68499401775009e-19
0.7839195979899498,7.667092372683286e-19
0.793969849246231,7.649190727616484e-19
0.8040201005025126,7.631289082549684e-19
0.8140703517587939,7.613387437482878e-19
0.8241206030150755,7.5954857924160775e-19
0.8341708542713568,7.577584147349274e-19
0.8442211055276381,7.55968250228247e-19
0.8542713567839196,7.541780857215668e-19
0.864321608040201,7.523879212148868e-19
0.8743718592964824,7.505977567082062e-19
0.8844221105527639,7.488075922015261e-19
0.8944723618090451,7.470174276948458e-19
0.9045226130653266,7.452272631881654e-19
0.914572864321608,7.434370986814852e-19
0.9246231155778895,7.416469341748052e-19
0.9346733668341709,7.398567696681246e-19
0.9447236180904521,7.380666051614445e-19
0.9547738693467338,7.362764406547642e-19
0.964824120603015,7.344862761480838e-19
0.9748743718592964,7.326961116414037e-19
0.9849246231155779,7.309059471347234e-19
0.9949748743718592,7.291157826280432e-19
1.0050251256281406,7.273256181213629e-19
1.015075376884422,7.255354536146826e-19
1.0251256281407035,7.237452891080022e-19
1.0351758793969847,7.219551246013221e-19
1.0452261306532664,7.201649600946418e-19
1.0552763819095476,7.183747955879616e-19
1.065326633165829,7.165846310812813e-19
1.0753768844221103,7.147944665746011e-19
1.085427135678392,7.130043020679208e-19
1.0954773869346734,7.112141375612405e-19
1.105527638190955,7.094239730545603e-19
1.115577889447236,7.0763380854788e-19
1.1256281407035176,7.058436440411997e-19
1.135678391959799,7.040534795345195e-19
1.1457286432160805,7.022633150278392e-19
1.155778894472362,7.004731505211589e-19
1.1658291457286432,6.986829860144787e-19
1.1758793969849246,6.968928215077984e-19
1.185929648241206,6.951026570011181e-19
1.1959798994974875,6.933124924944379e-19
1.2060301507537687,6.915223279877576e-19
1.21608040201005,6.897321634810773e-19
1.2261306532663316,6.879419989743973e-19
1.236180904522613,6.861518344677168e-19
1.2462311557788943,6.843616699610366e-19
1.256281407035176,6.825715054543563e-19
1.2663316582914572,6.8057900163120605e-19
1.2763819095477387,6.778159135850191e-19
1.28643216080402,6.750528255388324e-19
1.2964824120603016,6.722897374926457e-19
1.306532663316583,6.695266494464588e-19
1.3165829145728642,6.667635614002721e-19
1.3266331658291457,6.640004733540854e-19
1.3366834170854272,6.612373853078985e-19
1.3467336683417086,6.584742972617118e-19
1.35678391959799,6.557112092155251e-19
1.3668341708542713,6.529481211693384e-19
1.3768844221105527,6.501850331231516e-19
1.386934673366834,6.474219450769648e-19
1.3969849246231156,6.446588570307781e-19
1.407035175879397,6.418957689845912e-19
1.4170854271356783,6.391326809384045e-19
1.4271356783919595,6.363695928922178e-19
1.4371859296482412,6.33606504846031e-19
1.4472361809045227,6.308434167998442e-19
1.457286432160804,6.280803287536576e-19
1.4673366834170851,6.2531724070747075e-19
1.4773869346733668,6.22554152661284e-19
1.4874371859296482,6.197910646150972e-19
1.4974874371859297,6.170279765689105e-19
1.5075376884422111,6.142648885227236e-19
1.5175879396984924,6.115018004765369e-19
1.5276381909547738,6.087387124303502e-19
1.5376884422110553,6.059756243841633e-19
1.5477386934673367,6.032125363379767e-19
1.557788944723618,6.004494482917899e-19
1.5678391959798996,5.976863602456032e-19
1.5778894472361809,5.949232721994164e-19
1.5879396984924623,5.921601841532296e-19
1.5979899497487435,5.893970961070429e-19
1.6080402010050252,5.866340080608561e-19
1.6180904522613067,5.838709200146693e-19
1.6281407035175879,5.811078319684827e-19
1.6381909547738691,5.783447439222958e-19
1.6482412060301508,5.755816558761091e-19
1.6582914572864322,5.728185678299224e-19
1.6683417085427137,5.700554797837355e-19
1.6783919597989947,5.672923917375488e-19
1.6884422110552764,5.645293036913621e-19
1.6984924623115578,5.617662156451753e-19
1.7085427135678393,5.590031275989885e-19
1.7185929648241207,5.562400395528018e-19
1.728643216080402,5.534769515066152e-19
1.7386934673366832,5.507138634604281e-19
1.7487437185929648,5.479507754142415e-19
1.7587939698492463,5.451876873680547e-19
1.7688442211055275,5.42424599321868e-19
1.7788944723618088,5.396615112756812e-19
1.7889447236180904,5.368984232294945e-19
1.7989949748743719,5.3413533518330765e-19
1.809045226130653,5.313722471371209e-19
1.8190954773869348,5.286091590909342e-19
1.829145728643216,5.258460710447475e-19
1.8391959798994972,5.230829829985606e-19
1.849246231155779,5.203198949523739e-19
1.8592964824120604,5.175568069061873e-19
1.8693467336683416,5.147937188600003e-19
1.8793969849246233,5.120306308138137e-19
1.8894472361809045,5.092675427676269e-19
1.8994974874371855,5.065044547214401e-19
1.9095477386934676,5.037413666752533e-19
1.9195979899497488,5.009782786290666e-19
1.92964824120603,4.9821519058287995e-19
1.9396984924623115,4.954521025366931e-19
1.9497487437185927,4.926890144905063e-19
1.9597989949748744,4.899259264443197e-19
1.969849246231156,4.871628383981328e-19
1.979899497487437,4.84399750351946e-19
1.9899497487437183,4.816366623057593e-19
2.0,4.788735742595725e-19
